issn,title,qualis,area
"1982-3134, 0034-7612",Revista de Administração Pública,A2,Ciências Sociais Aplicadas
2178-9010,80,C,ZOOTECNIA / RECURSOS PESQUEIROS
1809-4422,AMBIENTE & SOCIEDADE,A2,ZOOTECNIA / RECURSOS PESQUEIROS
,ANTHROPOLOGICAL THEORY,,
,ANTROPOLÍTICA: REVISTA CONTEMPORÂNEA DE ANTROPOLOGIA,,
"2357-738X, 0102-4302",ANUÁRIO ANTROPOLÓGICO,A1,SOCIOLOGIA
"1982-0194, 0103-2100",APE,A2,SERVIÇO SOCIAL
2764-4820,Applied Veterinary Research,B3,ZOOTECNIA / RECURSOS PESQUEIROS
"1984-4840, 1980-5373",Arace,A3,QUÍMICA
1981-982X,Archive,C,ZOOTECNIA / RECURSOS PESQUEIROS
1984-3852,Artefactum,A3,SERVIÇO SOCIAL
,Brazilian Applied Science Review,,
,Brazilian Journal of Animal and Environmental Research,,
,Brazilian Journal of Business,,
,Brazilian Journal of Development,,
,Brazilian Journal of Health Review,,
2966-4292,Brazilian Journal of Radiation Technology Research,C,INTERDISCIPLINAR
2764-3417,Brazilian Journal of Science,B2,ZOOTECNIA / RECURSOS PESQUEIROS
,Brazilian Journal of Technology,,
"0366-6913, 1678-4553",CADERNOS DE EDUCAÇÃO -UFPEL (ONLINE),B1,QUÍMICA
"2358-291X, 1414-462X",CADSC,B1,SAÚDE COLETIVA
,COGGIT,,
2179-1309,CONTEXTO & EDUCAÇÃO,A1,SOCIOLOGIA
"1678-4561, 1413-8123",CSC,A1,SOCIOLOGIA
"2448-0916, 2021-2024",Cadernos Cajuína,A3,SOCIOLOGIA
"1983-0882, 2017-2020",Cadernos Pedagógicos,C,ZOOTECNIA / RECURSOS PESQUEIROS
"1980-5314, 0100-1574",Cadernos de Pesquisa,A1,Ciências Humanas
2965-2138,Centro Universitário Fundação Santo André,B4,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
"2447-6498, 2179-6122",Clcs,B1,SOCIOLOGIA
"2017-2020, 1989-4155",Cuadernos de Educación,C,ZOOTECNIA / RECURSOS PESQUEIROS
"0168-1699, 1984-2961",Delos,A1,ZOOTECNIA / RECURSOS PESQUEIROS
"2177-9465, 1414-8145",EAN,A4,SAÚDE COLETIVA
"1982-3533, 0104-0618",ECONOMIA E SOCIEDADE,A2,SOCIOLOGIA
,EDUCAÇÃO E FILOSOFIA,,
,EDUCAÇÃO E FILOSOFIA (UFU. IMPRESSO),,
"1806-9592, 0103-4014",EM ABERTO,A1,SOCIOLOGIA
"2175-6236, 0100-3143",Educação & Realidade,A1,SOCIOLOGIA
"1678-4634, 1517-9702",Educação e Pesquisa,A1,SOCIOLOGIA
"1678-4464, 0102-311X","Escola Nacional de Saúde Pública Sergio Arouca, Fundação Oswaldo Cruz",A1,SOCIOLOGIA
2795-451X,Europub Journal of Animal and Environmental Research,,
2795-448X,Europub Journal of Education Research,B3,SAÚDE COLETIVA
2795-4641,Europub Journal of Exact and Engineering Research,B4,ENGENHARIAS III
,Europub Journal of Health Research,,
2795-4544,Europub Journal of Social Sciences Research,,
,FAM - Faculdade de Americana,,
"2178-2091, 2212-3717",Home,A1,QUÍMICA
"1807-5762, 1414-3283",ICSE,A2,SOCIOLOGIA
0034-7701,ILHA - REVISTA DE ANTROPOLOGIA,A1,SOCIOLOGIA
,INFORMAÇÃO & SOCIEDADE: ESTUDOS,,
"1678-4588, 0011-5258",Instituto de Estudos Sociais e Políticos (IESP) da Universidade do Estado do Rio de Janeiro (UERJ),A1,SOCIOLOGIA
"1807-5762, 1414-3283","Interface - Comunicação, Saúde, Educação",A2,"Ciências Da Saúde, Ciências Humanas"
,International Journal of Management Affairs,,
2525-7323,JAFF - Jornal de Assistência Farmacêutica e Farmacoeconomia,C,SAÚDE COLETIVA
"1678-4790, 0103-5053",JBCHS,A3,QUÍMICA
,JBCS,,
"1872-0234, 1807-1953",JICS - Sociedade Brasileira de Computação,B1,MEDICINA I
2318-1265,Journal of Animal Behaviour and Biometeorology,A2,ZOOTECNIA / RECURSOS PESQUEIROS
2675-4711,Journal of Archives of Health,B3,ZOOTECNIA / RECURSOS PESQUEIROS
,Journal of Medical Affairs,,
,LINHAS CRÍTICAS,,
2674-9297,Latin American Journal of Development,C,SOCIOLOGIA
2318-1265,MALQUE Publishing,A2,ZOOTECNIA / RECURSOS PESQUEIROS
"2178-2091, 1806-5104",Multidisciplinar,A1,QUÍMICA
2595-3982,Multidisciplinary Reviews,B4,ZOOTECNIA / RECURSOS PESQUEIROS
"2675-1240, 1693-4318",Multidisciplinary Science Journal,B4,SAÚDE COLETIVA
"1980-5381, 0103-6351",NOVA ECONOMIA,A2,SOCIOLOGIA
"1980-5381, 0103-6351",Nova Economia,A2,Ciências Sociais Aplicadas
,ORGANIZAÇÕES & SOCIEDADE,,
"2674-7189, 1940-9893",Olel,B1,SAÚDE COLETIVA
"1984-6444, 0102-5473",PERSPECTIVA (FLORIANÓPOLIS),A1,SOCIOLOGIA
"1809-4481, 0103-7331",PHYSIS,A3,SOCIOLOGIA
"1678-5142, 0101-7438",POPE,B3,SAÚDE COLETIVA
1807-0310,PSICOLOGIA E SOCIEDADE,A2,SOCIOLOGIA
2446-5496,Periódicos UNESC,B1,ZOOTECNIA / RECURSOS PESQUEIROS
"1809-4481, 0103-7331",Physis: Revista de Saúde Coletiva,A3,"Ciências Da Saúde, Ciências Humanas"
"1806-9983, 0104-7183",Programa de Pós-Graduação em Antropologia Social - IFCH-UFRGS,A1,SOCIOLOGIA
"1678-4944, 0104-9313","Programa de Pós-Graduação em Antropologia Social - PPGAS-Museu Nacional, da Universidade Federal do Rio de Janeiro - UFRJ",A1,SOCIOLOGIA
"1678-7064, 0100-4042",QN,A4,ZOOTECNIA / RECURSOS PESQUEIROS
"1980-5497, 1415-790X",RBEPID,A2,SOCIOLOGIA
"1981-528X, 0102-695X",RBFAR,A3,ZOOTECNIA / RECURSOS PESQUEIROS
"1984-0446, 0034-7167",REBEN,A2,SOCIOLOGIA
,REE,,
"1980-220X, 0080-6234",REEUSP,A3,SERVIÇO SOCIAL
"1806-9584, 0104-026X",REF,A1,SOCIOLOGIA
,REME,,
"2237-9622, 1679-4974",RESS,A2,SOCIOLOGIA
0102-6909,REVISTA BRASILEIRA DE HISTÓRIA & CIÊNCIAS SOCIAIS,A1,SOCIOLOGIA
"1982-3134, 0034-7612",REVISTA DE ADMINISTRAÇÃO PÚBLICA,A2,SOCIOLOGIA
"2317-7721, 1809-6077",REVISTA DE DIREITO DA CIDADE,A2,SOCIOLOGIA
1980-5527,REVISTA DE ECONOMIA CONTEMPORÂNEA,A2,SOCIOLOGIA
,REVISTA DE EDUCACIÓN,A2,
1681-5653,REVISTA IBEROAMERICANA DE EDUCACIÓN,A1,SAÚDE COLETIVA
,REVISTA USP,,
"1983-1447, 0102-6933",RGENF,A3,SOCIOLOGIA
1518-8345,RLAE,A1,SAÚDE COLETIVA
"1518-8787, 0034-8910",RSP,A1,SOCIOLOGIA
,Recovered Items,,
,Research in Alternative Animal Feeds,,
2675-1488,Revista,C,SOCIOLOGIA
,Revista Azeites & Olivais,,
"1806-9053, 0102-6909",Revista Brasileira de Ciências Sociais,A1,Ciências Humanas
1413-2478,Revista Brasileira de Educação,A1,Ciências Humanas
"1983-0807, 1806-4892",Revista Brasileira de Gestão de Negócios,A2,PSICOLOGIA
